,Lake,d2H
Aq,Alajarvi,-185.585925329484
Aq,Alajarvi,-187.413429864319
Aq,Alajarvi,-182.003457814722
Aq,Alajarvi,-154.211046633462
Aq,Alajarvi,-170.589688940588
Aq,Alajarvi,-214.218811498835
Aq,Alajarvi,-195.59429007737
Aq,Alajarvi,-183.114013869737
Aq,Alajarvi,-215.316515988626
Aq,Alajarvi,-179.761903056575
Aq,Alajarvi,-197.895724550646
Ter,Alajarvi,-115.259976469186
Ter,Alajarvi,-122.99417568489
Ter,Alajarvi,-107.176180812925
Ter,Alajarvi,-125.035930481399
Ter,Alajarvi,-117.109781436362
Ter,Alajarvi,-98.0213907877879
Ter,Alajarvi,-114.183242285668
Ter,Alajarvi,-123.380653015923
Ter,Alajarvi,-101.31179411053
Ter,Alajarvi,-113.663155408532
Ter,Alajarvi,-123.062953507618
Ter,Alajarvi,-120.549399850166
Ter,Alajarvi,-125.368565708654
Ter,Alajarvi,-129.46954584943
Ter,Alajarvi,-124.584734492426
Ter,Alajarvi,-111.13096830679
Ter,Alajarvi,-92.6414387904193
Ter,Alajarvi,-117.963403065589
Ter,Alajarvi,-111.742970598223
Ter,Alajarvi,-121.640647360359
Ter,Alajarvi,-113.315906569583
Ter,Alajarvi,-103.021788682152
Ter,Alajarvi,-113.014339793211
Ter,Alajarvi,-127.957190528546
Ter,Alajarvi,-135.939066831625
Ter,Alajarvi,-120.247344057153
Ter,Alajarvi,-119.757382150635
Ter,Alajarvi,-108.011295194507
Ter,Alajarvi,-121.962793912077
Ter,Alajarvi,-97.3249930069977
Ter,Alajarvi,-123.032394355681
Ter,Alajarvi,-123.930968272296
Ter,Alajarvi,-106.79386078602
Ter,Alajarvi,-102.988791354471
Ter,Alajarvi,-112.287241764138
Ter,Alajarvi,-114.055468217358
Ter,Alajarvi,-104.145645939336
Ter,Alajarvi,-130.602485075602
Ter,Alajarvi,-106.628690355046
Ter,Alajarvi,-121.092471857577
Ter,Alajarvi,-109.997602020552
Ter,Alajarvi,-107.085325441516
Ter,Alajarvi,-130.306857258508
Ter,Alajarvi,-110.423549634857
Ter,Alajarvi,-92.2630676259116
Ter,Alajarvi,-107.622527728404
Ter,Alajarvi,-118.660990425231
Ter,Alajarvi,-121.526033708055
Ter,Alajarvi,-96.1684090760114
Ter,Alajarvi,-111.54551771666
Ter,Alajarvi,-95.0863736358615
Ter,Alajarvi,-109.074003493693
Ter,Alajarvi,-107.11947464889
Ter,Alajarvi,-122.301256301412
Ter,Alajarvi,-107.687514722268
Ter,Alajarvi,-106.311122332454
Ter,Alajarvi,-108.325283275177
Ter,Alajarvi,-107.659368772941
Ter,Alajarvi,-117.541228489002
Ter,Alajarvi,-125.151623528447
Ter,Alajarvi,-112.456210668436
Ter,Alajarvi,-105.958048876409
Ter,Alajarvi,-113.212522303228
Ter,Alajarvi,-122.426326462929
Ter,Alajarvi,-127.609505393871
Ter,Alajarvi,-106.560745295354
Ter,Alajarvi,-107.800590449402
Ter,Alajarvi,-89.131487592454
Ter,Alajarvi,-111.422602424014
Ter,Alajarvi,-114.488387144741
Ter,Alajarvi,-120.828483369378
Ter,Alajarvi,-144.06785298371
Ter,Alajarvi,-93.8428450816526
Ter,Alajarvi,-133.438338192759
Ter,Alajarvi,-115.154372687807
Ter,Alajarvi,-124.692388619418
Ter,Alajarvi,-119.467877201035
Ter,Alajarvi,-120.464819224824
Ter,Alajarvi,-120.820499149169
Ter,Alajarvi,-117.8997912415
Ter,Alajarvi,-113.796541730226
Ter,Alajarvi,-112.959229525044
Ter,Alajarvi,-122.745850998227
Ter,Alajarvi,-114.959428472054
Ter,Alajarvi,-112.430237066611
Ter,Alajarvi,-114.408831609815
Ter,Alajarvi,-110.336882339257
Ter,Alajarvi,-129.673161232108
Ter,Alajarvi,-112.811657474385
Ter,Alajarvi,-119.104942796715
Ter,Alajarvi,-116.723910649893
Ter,Alajarvi,-137.65715513249
Ter,Alajarvi,-120.934100366286
Ter,Alajarvi,-113.777121187414
Ter,Alajarvi,-120.995318666267
Ter,Alajarvi,-94.9443438362795
Ter,Alajarvi,-131.003004293255
Ter,Alajarvi,-98.1972931756962
Ter,Alajarvi,-111.364811212569
Ter,Alajarvi,-112.31081484334
Aq,Alanne,-184.722933665397
Aq,Alanne,-195.639574133361
Aq,Alanne,-193.405870368415
Aq,Alanne,-202.814616553898
Aq,Alanne,-170.828357837005
Aq,Alanne,-201.27065388785
Aq,Alanne,-228.198493925945
Aq,Alanne,-197.892790098458
Aq,Alanne,-194.210074238423
Aq,Alanne,-252.000919154558
Aq,Alanne,-201.991102582148
Aq,Alanne,-198.265264691206
Aq,Alanne,-201.960657467593
Aq,Alanne,-218.824911935158
Aq,Alanne,-195.462080911131
Aq,Alanne,-209.065494005039
Aq,Alanne,-150.934431084553
Aq,Alanne,-226.539964806942
Aq,Alanne,-158.867333775315
Aq,Alanne,-153.126362500834
Aq,Alanne,-184.657955904047
Aq,Alanne,-218.544011133659
Aq,Alanne,-221.445005331252
Aq,Alanne,-205.730364499735
Aq,Alanne,-210.03697716975
Aq,Alanne,-206.064484466527
Aq,Alanne,-263.196284808563
Aq,Alanne,-199.993956466002
Aq,Alanne,-227.286841981647
Aq,Alanne,-218.363859671043
Aq,Alanne,-188.745433047714
Aq,Alanne,-137.596382964116
Aq,Alanne,-186.320129148534
Aq,Alanne,-195.039069977587
Aq,Alanne,-229.088124961817
Aq,Alanne,-208.089248380854
Aq,Alanne,-202.614552853593
Aq,Alanne,-132.69119145631
Aq,Alanne,-173.677624758386
Aq,Alanne,-183.000382161694
Aq,Alanne,-154.620118265759
Aq,Alanne,-196.63022300889
Aq,Alanne,-189.805531846079
Aq,Alanne,-215.40284668369
Aq,Alanne,-195.563676528136
Aq,Alanne,-180.54932934138
Aq,Alanne,-163.030727624797
Aq,Alanne,-188.391268662718
Aq,Alanne,-203.790363904361
Aq,Alanne,-193.722315460024
Aq,Alanne,-189.645255947189
Aq,Alanne,-235.715995781901
Aq,Alanne,-185.578912820675
Aq,Alanne,-204.371877709523
Aq,Alanne,-170.251809439423
Aq,Alanne,-163.805332507082
Aq,Alanne,-204.248329975268
Aq,Alanne,-209.016642555732
Aq,Alanne,-181.94562992033
Aq,Alanne,-223.776789595919
Aq,Alanne,-230.270580870646
Aq,Alanne,-192.405430257548
Aq,Alanne,-199.140228145456
Aq,Alanne,-174.738660503251
Aq,Alanne,-231.045313282951
Aq,Alanne,-191.66604375772
Aq,Alanne,-184.416059634493
Aq,Alanne,-158.683521700242
Aq,Alanne,-207.357669079638
Aq,Alanne,-206.115266057664
Aq,Alanne,-194.637184037811
Aq,Alanne,-178.144889957244
Aq,Alanne,-225.596214519156
Aq,Alanne,-212.885397158444
Aq,Alanne,-188.070005832148
Aq,Alanne,-238.440764729043
Aq,Alanne,-196.362456999222
Aq,Alanne,-218.332718092981
Aq,Alanne,-184.105131821694
Aq,Alanne,-223.139183400638
Aq,Alanne,-161.442774326496
Aq,Alanne,-195.254281671411
Aq,Alanne,-209.198624266935
Aq,Alanne,-237.251323358242
Aq,Alanne,-150.10546873464
Aq,Alanne,-224.417839637398
Aq,Alanne,-158.199288107055
Aq,Alanne,-174.064474420532
Aq,Alanne,-149.953745237308
Aq,Alanne,-216.990325948969
Aq,Alanne,-201.221161466232
Aq,Alanne,-231.234020571796
Aq,Alanne,-212.653870914692
Aq,Alanne,-223.709661347854
Aq,Alanne,-183.098200729939
Aq,Alanne,-166.796123487507
Aq,Alanne,-236.132251187127
Aq,Alanne,-221.196778122921
Aq,Alanne,-223.036268786331
Aq,Alanne,-181.141919664703
Ter,Alanne,-113.191084484561
Ter,Alanne,-130.828383051815
Ter,Alanne,-135.397709546635
Ter,Alanne,-114.078239864516
Ter,Alanne,-130.711620844837
Ter,Alanne,-128.183941453126
Ter,Alanne,-104.273680969479
Ter,Alanne,-120.920243429363
Ter,Alanne,-118.32369290945
Ter,Alanne,-114.85870991819
Ter,Alanne,-139.072350806419
Ter,Alanne,-130.687623279772
Ter,Alanne,-123.29936305745
Ter,Alanne,-119.66092876138
Ter,Alanne,-127.129913167514
Ter,Alanne,-117.166133462978
Ter,Alanne,-132.917244416409
Ter,Alanne,-128.412719708778
Ter,Alanne,-112.875455296341
Ter,Alanne,-132.334741626433
Ter,Alanne,-118.474638271295
Ter,Alanne,-104.305719756233
Ter,Alanne,-102.014690949947
Ter,Alanne,-113.996052158197
Ter,Alanne,-134.293526762542
Ter,Alanne,-140.951470692162
Ter,Alanne,-119.307861171564
Ter,Alanne,-109.642483953364
Ter,Alanne,-132.154452519606
Ter,Alanne,-136.308312091781
Ter,Alanne,-121.03670361108
Ter,Alanne,-115.063588674343
Ter,Alanne,-120.097530423601
Ter,Alanne,-116.627740864775
Ter,Alanne,-108.080611150394
Ter,Alanne,-136.244515652136
Ter,Alanne,-129.361038975691
Ter,Alanne,-110.305574554414
Ter,Alanne,-110.106167654056
Ter,Alanne,-114.222263822967
Ter,Alanne,-112.081435768996
Ter,Alanne,-132.837335618472
Ter,Alanne,-121.279775794165
Ter,Alanne,-117.636743494988
Ter,Alanne,-119.036465768909
Ter,Alanne,-136.724166516976
Ter,Alanne,-106.348618643803
Ter,Alanne,-142.712129915466
Ter,Alanne,-121.528340036728
Ter,Alanne,-113.852513908846
Ter,Alanne,-109.787917891211
Ter,Alanne,-118.553043420172
Ter,Alanne,-143.385664602732
Ter,Alanne,-107.041136721711
Ter,Alanne,-108.831618753725
Ter,Alanne,-115.333068309113
Ter,Alanne,-99.1125562963859
Ter,Alanne,-142.897554059103
Ter,Alanne,-133.158361796701
Ter,Alanne,-129.051654192725
Ter,Alanne,-134.706028508301
Ter,Alanne,-131.340229253462
Ter,Alanne,-139.53011495175
Ter,Alanne,-114.654772408269
Ter,Alanne,-112.665428083426
Ter,Alanne,-140.512869873944
Ter,Alanne,-119.108807953874
Ter,Alanne,-98.0545107179619
Ter,Alanne,-126.664901164214
Ter,Alanne,-112.877898881017
Ter,Alanne,-119.249012836963
Ter,Alanne,-131.570165470648
Ter,Alanne,-130.768792407714
Ter,Alanne,-120.233117006482
Ter,Alanne,-116.988908359698
Ter,Alanne,-129.125188270041
Ter,Alanne,-123.38959288535
Ter,Alanne,-111.491299683692
Ter,Alanne,-133.360809139539
Ter,Alanne,-109.938548511079
Ter,Alanne,-120.519225798216
Ter,Alanne,-113.090779987017
Ter,Alanne,-124.781673683629
Ter,Alanne,-132.562066149694
Ter,Alanne,-113.161272196425
Ter,Alanne,-127.754458627484
Ter,Alanne,-104.991895373171
Ter,Alanne,-101.293076525129
Ter,Alanne,-126.639892006041
Ter,Alanne,-118.725572824914
Ter,Alanne,-116.478227376207
Ter,Alanne,-141.506168903415
Ter,Alanne,-127.484952605509
Ter,Alanne,-126.486444849536
Ter,Alanne,-143.275091990187
Ter,Alanne,-114.538946934332
Ter,Alanne,-104.112472475858
Ter,Alanne,-120.800230709904
Ter,Alanne,-114.046831242301
Ter,Alanne,-129.162776214502
Aq,Arkusjarvi,-195.113552102934
Aq,Arkusjarvi,-209.491430685979
Aq,Arkusjarvi,-207.461939512893
Aq,Arkusjarvi,-201.435086987033
Aq,Arkusjarvi,-169.164156554411
Aq,Arkusjarvi,-204.670779220108
Aq,Arkusjarvi,-163.08897602064
Aq,Arkusjarvi,-209.174352405046
Aq,Arkusjarvi,-162.594051772375
Aq,Arkusjarvi,-167.165673299569
Aq,Arkusjarvi,-173.939332696277
Aq,Arkusjarvi,-179.465030492609
Aq,Arkusjarvi,-195.824903140997
Aq,Arkusjarvi,-198.52323908477
Aq,Arkusjarvi,-171.579868889828
Aq,Arkusjarvi,-150.558407508723
Aq,Arkusjarvi,-154.949478677842
Aq,Arkusjarvi,-151.912719483324
Aq,Arkusjarvi,-188.790829549647
Aq,Arkusjarvi,-168.910594009779
Aq,Arkusjarvi,-195.225911469274
Aq,Arkusjarvi,-172.896691580866
Aq,Arkusjarvi,-184.845214810366
Aq,Arkusjarvi,-208.62474120114
Aq,Arkusjarvi,-156.258293535877
Aq,Arkusjarvi,-161.539185780305
Aq,Arkusjarvi,-180.180034299832
Aq,Arkusjarvi,-176.601120485566
Aq,Arkusjarvi,-167.3760326895
Aq,Arkusjarvi,-174.884022102291
Aq,Arkusjarvi,-170.566029553661
Aq,Arkusjarvi,-154.037710358423
Aq,Arkusjarvi,-166.549699266842
Aq,Arkusjarvi,-157.120433544147
Aq,Arkusjarvi,-151.164929409141
Aq,Arkusjarvi,-198.207687709147
Aq,Arkusjarvi,-188.316718339186
Aq,Arkusjarvi,-164.74051119623
Aq,Arkusjarvi,-143.173200467936
Aq,Arkusjarvi,-176.2623137835
Aq,Arkusjarvi,-172.501005535003
Aq,Arkusjarvi,-94.3401527825459
Aq,Arkusjarvi,-183.565847578763
Aq,Arkusjarvi,-149.939866744989
Aq,Arkusjarvi,-191.621063646023
Aq,Arkusjarvi,-164.904516718035
Aq,Arkusjarvi,-147.626886018422
Aq,Arkusjarvi,-162.99321997746
Aq,Arkusjarvi,-170.501253480256
Aq,Arkusjarvi,-135.575780696287
Aq,Arkusjarvi,-159.123036828655
Aq,Arkusjarvi,-173.88556134634
Aq,Arkusjarvi,-178.472426278192
Aq,Arkusjarvi,-152.032033614412
Aq,Arkusjarvi,-185.123405735374
Aq,Arkusjarvi,-173.600536976544
Aq,Arkusjarvi,-168.342669121142
Aq,Arkusjarvi,-196.6285326298
Aq,Arkusjarvi,-167.986579437122
Aq,Arkusjarvi,-167.235534267268
Aq,Arkusjarvi,-169.361075002072
Aq,Arkusjarvi,-210.156872818741
Aq,Arkusjarvi,-170.010546296432
Aq,Arkusjarvi,-166.616158203617
Aq,Arkusjarvi,-163.570406392848
Aq,Arkusjarvi,-190.391757958897
Aq,Arkusjarvi,-149.631709679213
Aq,Arkusjarvi,-173.950503411267
Aq,Arkusjarvi,-218.151081897695
Aq,Arkusjarvi,-169.184299557588
Aq,Arkusjarvi,-174.653907824876
Aq,Arkusjarvi,-157.733630187753
Aq,Arkusjarvi,-176.852783519299
Aq,Arkusjarvi,-164.85287598834
Aq,Arkusjarvi,-161.482898165642
Aq,Arkusjarvi,-194.958625908856
Aq,Arkusjarvi,-149.118738720424
Aq,Arkusjarvi,-165.444343726534
Aq,Arkusjarvi,-178.613204125475
Aq,Arkusjarvi,-160.108029371445
Aq,Arkusjarvi,-146.012716816648
Aq,Arkusjarvi,-187.177122222063
Aq,Arkusjarvi,-182.957352652413
Aq,Arkusjarvi,-189.004596527049
Aq,Arkusjarvi,-191.852887652739
Aq,Arkusjarvi,-161.251079692395
Aq,Arkusjarvi,-165.837526753919
Aq,Arkusjarvi,-162.07122589082
Aq,Arkusjarvi,-184.458512324355
Aq,Arkusjarvi,-178.061846511715
Aq,Arkusjarvi,-179.651312949102
Aq,Arkusjarvi,-160.210548123115
Aq,Arkusjarvi,-170.908019083596
Aq,Arkusjarvi,-195.159054243876
Aq,Arkusjarvi,-168.634550448748
Aq,Arkusjarvi,-224.74405508761
Aq,Arkusjarvi,-152.319480526213
Aq,Arkusjarvi,-173.667899441038
Aq,Arkusjarvi,-206.18181093654
Aq,Arkusjarvi,-167.151170313815
Ter,Arkusjarvi,-116.699689181353
Ter,Arkusjarvi,-110.868481456753
Ter,Arkusjarvi,-119.77505713775
Ter,Arkusjarvi,-129.483387506186
Ter,Arkusjarvi,-129.857585217859
Ter,Arkusjarvi,-135.40991317241
Ter,Arkusjarvi,-103.663915050569
Ter,Arkusjarvi,-131.238534513256
Ter,Arkusjarvi,-139.771588962522
Ter,Arkusjarvi,-124.898584779495
Ter,Arkusjarvi,-120.26064154988
Ter,Arkusjarvi,-129.777996455946
Ter,Arkusjarvi,-126.307841913236
Ter,Arkusjarvi,-107.780171765696
Ter,Arkusjarvi,-123.931390495575
Ter,Arkusjarvi,-123.4772851684
Ter,Arkusjarvi,-116.232291392908
Ter,Arkusjarvi,-124.338975675223
Ter,Arkusjarvi,-149.471574458892
Ter,Arkusjarvi,-129.414051720886
Ter,Arkusjarvi,-127.342476581519
Ter,Arkusjarvi,-121.715798187075
Ter,Arkusjarvi,-125.527214762476
Ter,Arkusjarvi,-132.865975469967
Ter,Arkusjarvi,-107.255456957231
Ter,Arkusjarvi,-121.16504113839
Ter,Arkusjarvi,-111.059329373392
Ter,Arkusjarvi,-138.131490582653
Ter,Arkusjarvi,-129.516548032009
Ter,Arkusjarvi,-117.200998414275
Ter,Arkusjarvi,-139.513242981255
Ter,Arkusjarvi,-116.05016530893
Ter,Arkusjarvi,-105.414383960065
Ter,Arkusjarvi,-126.689848380156
Ter,Arkusjarvi,-136.227748792527
Ter,Arkusjarvi,-133.560930188036
Ter,Arkusjarvi,-98.7689020034261
Ter,Arkusjarvi,-116.033857565234
Ter,Arkusjarvi,-125.481146980492
Ter,Arkusjarvi,-141.511264137682
Ter,Arkusjarvi,-104.638316818771
Ter,Arkusjarvi,-139.188480865399
Ter,Arkusjarvi,-114.462043616585
Ter,Arkusjarvi,-122.331869365026
Ter,Arkusjarvi,-116.176511952295
Ter,Arkusjarvi,-141.703436995451
Ter,Arkusjarvi,-108.609756850504
Ter,Arkusjarvi,-109.506502932934
Ter,Arkusjarvi,-135.666869023836
Ter,Arkusjarvi,-106.617835757492
Ter,Arkusjarvi,-113.554181389932
Ter,Arkusjarvi,-134.641915436346
Ter,Arkusjarvi,-118.484993152908
Ter,Arkusjarvi,-138.689894709194
Ter,Arkusjarvi,-130.153054922265
Ter,Arkusjarvi,-135.654327936752
Ter,Arkusjarvi,-124.370728768634
Ter,Arkusjarvi,-143.648309072203
Ter,Arkusjarvi,-135.490034365594
Ter,Arkusjarvi,-114.908947686063
Ter,Arkusjarvi,-128.691534823591
Ter,Arkusjarvi,-134.120745174324
Ter,Arkusjarvi,-122.761371621582
Ter,Arkusjarvi,-117.047181362535
Ter,Arkusjarvi,-109.37222842293
Ter,Arkusjarvi,-116.698306203533
Ter,Arkusjarvi,-130.993428097916
Ter,Arkusjarvi,-108.70416394108
Ter,Arkusjarvi,-112.42240850243
Ter,Arkusjarvi,-125.535821040625
Ter,Arkusjarvi,-136.624480980977
Ter,Arkusjarvi,-139.793506260628
Ter,Arkusjarvi,-134.580436596421
Ter,Arkusjarvi,-120.387483578919
Ter,Arkusjarvi,-122.973907133218
Ter,Arkusjarvi,-121.927963474625
Ter,Arkusjarvi,-132.548962417192
Ter,Arkusjarvi,-139.042159808592
Ter,Arkusjarvi,-115.995002139715
Ter,Arkusjarvi,-136.341827068295
Ter,Arkusjarvi,-115.144310873741
Ter,Arkusjarvi,-134.225360297641
Ter,Arkusjarvi,-109.811353477525
Ter,Arkusjarvi,-132.853479124807
Ter,Arkusjarvi,-131.193476585297
Ter,Arkusjarvi,-147.15409947191
Ter,Arkusjarvi,-147.36906685032
Ter,Arkusjarvi,-123.675783615583
Ter,Arkusjarvi,-130.538548181861
Ter,Arkusjarvi,-121.851075833972
Ter,Arkusjarvi,-141.695987374662
Ter,Arkusjarvi,-111.845962336423
Ter,Arkusjarvi,-135.703174233193
Ter,Arkusjarvi,-118.915040761264
Ter,Arkusjarvi,-105.348499844928
Ter,Arkusjarvi,-131.631858158773
Ter,Arkusjarvi,-134.133985988531
Ter,Arkusjarvi,-128.158411997259
Ter,Arkusjarvi,-123.885163042941
Ter,Arkusjarvi,-115.567318547799
Aq,Erajarvi,-203.521270143943
Aq,Erajarvi,-162.821669932751
Aq,Erajarvi,-208.323841099666
Aq,Erajarvi,-178.915207914821
Aq,Erajarvi,-133.352348597347
Aq,Erajarvi,-180.132457585554
Aq,Erajarvi,-161.616374903715
Aq,Erajarvi,-189.64643361857
Aq,Erajarvi,-163.076318877509
Aq,Erajarvi,-159.547542514402
Aq,Erajarvi,-156.744991594364
Aq,Erajarvi,-179.868586763206
Aq,Erajarvi,-216.593687328181
Aq,Erajarvi,-180.745833046729
Aq,Erajarvi,-156.490776896072
Aq,Erajarvi,-179.447621889566
Aq,Erajarvi,-211.215066547058
Aq,Erajarvi,-148.057243308539
Aq,Erajarvi,-225.853792594059
Aq,Erajarvi,-164.183902097655
Aq,Erajarvi,-141.731142468267
Aq,Erajarvi,-244.037178688005
Aq,Erajarvi,-146.517979053413
Aq,Erajarvi,-173.17295787014
Aq,Erajarvi,-172.943736456776
Aq,Erajarvi,-158.282939507917
Aq,Erajarvi,-206.258693717563
Aq,Erajarvi,-227.860623060202
Aq,Erajarvi,-140.193223706502
Aq,Erajarvi,-199.589862839461
Aq,Erajarvi,-200.750344739939
Aq,Erajarvi,-208.091396178098
Aq,Erajarvi,-122.936703431788
Aq,Erajarvi,-147.511540583863
Aq,Erajarvi,-184.32719970631
Aq,Erajarvi,-193.346296258319
Aq,Erajarvi,-185.314362921261
Aq,Erajarvi,-154.814866202698
Aq,Erajarvi,-157.576585049257
Aq,Erajarvi,-199.604106483245
Aq,Erajarvi,-163.219649696449
Aq,Erajarvi,-170.319257918637
Aq,Erajarvi,-163.94998486164
Aq,Erajarvi,-191.246729946182
Aq,Erajarvi,-226.517363091467
Aq,Erajarvi,-207.029398498378
Aq,Erajarvi,-180.549144569018
Aq,Erajarvi,-217.220643642186
Aq,Erajarvi,-154.462889904369
Aq,Erajarvi,-215.141359601202
Aq,Erajarvi,-147.375450315977
Aq,Erajarvi,-154.353843511163
Aq,Erajarvi,-174.983939857107
Aq,Erajarvi,-187.633183684578
Aq,Erajarvi,-163.378535932532
Aq,Erajarvi,-190.034757851906
Aq,Erajarvi,-176.204310623116
Aq,Erajarvi,-168.851782645194
Aq,Erajarvi,-182.088477579419
Aq,Erajarvi,-136.985266166367
Aq,Erajarvi,-146.646202180265
Aq,Erajarvi,-164.518793270611
Aq,Erajarvi,-176.265701966207
Aq,Erajarvi,-190.852067569271
Aq,Erajarvi,-135.597767398258
Aq,Erajarvi,-120.55321131288
Aq,Erajarvi,-188.558818809098
Aq,Erajarvi,-155.923037407758
Aq,Erajarvi,-187.59173978925
Aq,Erajarvi,-175.230940712829
Aq,Erajarvi,-172.914361568414
Aq,Erajarvi,-172.613358093809
Aq,Erajarvi,-187.806141118925
Aq,Erajarvi,-149.794186441978
Aq,Erajarvi,-182.570495312199
Aq,Erajarvi,-234.064765839429
Aq,Erajarvi,-147.603197221727
Aq,Erajarvi,-160.322397255638
Aq,Erajarvi,-145.808676974441
Aq,Erajarvi,-184.971843156478
Aq,Erajarvi,-182.281624424108
Aq,Erajarvi,-227.343847688566
Aq,Erajarvi,-133.383317965251
Aq,Erajarvi,-195.661295384184
Aq,Erajarvi,-209.141557287617
Aq,Erajarvi,-147.462065614527
Aq,Erajarvi,-157.856803106323
Aq,Erajarvi,-153.379806521791
Aq,Erajarvi,-201.24893820993
Aq,Erajarvi,-121.100892483934
Aq,Erajarvi,-181.391057738491
Aq,Erajarvi,-210.174167919989
Aq,Erajarvi,-136.522446285825
Aq,Erajarvi,-185.133694060115
Aq,Erajarvi,-158.799663535612
Aq,Erajarvi,-218.43520151112
Aq,Erajarvi,-194.91124326167
Aq,Erajarvi,-167.930917183954
Aq,Erajarvi,-171.576699668095
Aq,Erajarvi,-164.715379302803
Ter,Erajarvi,-131.638190994839
Ter,Erajarvi,-117.952960559073
Ter,Erajarvi,-123.554021826225
Ter,Erajarvi,-103.421155894058
Ter,Erajarvi,-109.67564920946
Ter,Erajarvi,-129.387377465634
Ter,Erajarvi,-99.4275759403923
Ter,Erajarvi,-107.711049165388
Ter,Erajarvi,-112.781672713775
Ter,Erajarvi,-92.4417696471823
Ter,Erajarvi,-113.091437343304
Ter,Erajarvi,-123.016460761207
Ter,Erajarvi,-122.040873464244
Ter,Erajarvi,-114.461539180317
Ter,Erajarvi,-113.939237931645
Ter,Erajarvi,-87.9654963487381
Ter,Erajarvi,-116.803970118941
Ter,Erajarvi,-117.247087158096
Ter,Erajarvi,-116.157374801474
Ter,Erajarvi,-129.626904026702
Ter,Erajarvi,-119.070122577219
Ter,Erajarvi,-113.187600105467
Ter,Erajarvi,-119.343241586769
Ter,Erajarvi,-104.123713935993
Ter,Erajarvi,-119.110233056854
Ter,Erajarvi,-104.047667950804
Ter,Erajarvi,-112.15302756532
Ter,Erajarvi,-99.1588834720457
Ter,Erajarvi,-110.64195304421
Ter,Erajarvi,-106.11760170945
Ter,Erajarvi,-117.310309512576
Ter,Erajarvi,-119.416746564966
Ter,Erajarvi,-109.808264366122
Ter,Erajarvi,-118.423788731794
Ter,Erajarvi,-109.125586009782
